3107
8883
12903
13271
15444
15834
18252
20162
31260
89110
129649
133349
155289
159189
183459
202773
23718
23718
40449
40832
47357
238333
238333
406128
409958
475339
Len + 47357; Len -  124952; ratio 2.638511730050468
Epoch 19, Batch 20 | Acc: 0.9250 | PosAcc: 0.9130 | NegAcc: 0.9298
Epoch 19, Batch 40 | Acc: 0.9156 | PosAcc: 0.8750 | NegAcc: 0.9310
Epoch 19, Batch 60 | Acc: 0.9146 | PosAcc: 0.8672 | NegAcc: 0.9318
Epoch 19, Batch 80 | Acc: 0.9156 | PosAcc: 0.8827 | NegAcc: 0.9284
Epoch 19, Batch 100 | Acc: 0.8988 | PosAcc: 0.8811 | NegAcc: 0.9058
Epoch 19, Batch 120 | Acc: 0.9000 | PosAcc: 0.8791 | NegAcc: 0.9083
Epoch 19, Batch 140 | Acc: 0.8911 | PosAcc: 0.8754 | NegAcc: 0.8971
Epoch 19, Batch 160 | Acc: 0.8922 | PosAcc: nan | NegAcc: 0.8985
Epoch 19, Batch 180 | Acc: 0.8958 | PosAcc: 0.8798 | NegAcc: 0.9023
Epoch 19, Batch 200 | Acc: 0.8900 | PosAcc: 0.8731 | NegAcc: 0.8968
Epoch 19, Batch 220 | Acc: 0.8886 | PosAcc: 0.8717 | NegAcc: 0.8953
Epoch 19, Batch 240 | Acc: 0.8885 | PosAcc: 0.8675 | NegAcc: 0.8970
Epoch 19, Batch 260 | Acc: 0.8880 | PosAcc: 0.8660 | NegAcc: 0.8968
Epoch 19, Batch 280 | Acc: 0.8884 | PosAcc: nan | NegAcc: 0.8996
Epoch 19, Batch 300 | Acc: 0.8871 | PosAcc: 0.8584 | NegAcc: 0.8984
Epoch 19, Batch 320 | Acc: 0.8898 | PosAcc: 0.8613 | NegAcc: 0.9010
Epoch 19, Batch 340 | Acc: 0.8912 | PosAcc: 0.8619 | NegAcc: 0.9028
Epoch 19, Batch 360 | Acc: 0.8913 | PosAcc: 0.8599 | NegAcc: 0.9038
Epoch 19, Batch 380 | Acc: 0.8888 | PosAcc: 0.8608 | NegAcc: 0.8999
Epoch 19, Batch 400 | Acc: 0.8900 | PosAcc: 0.8584 | NegAcc: 0.9026
Epoch 19, Batch 420 | Acc: 0.8902 | PosAcc: 0.8585 | NegAcc: 0.9027
Epoch 19, Batch 440 | Acc: 0.8892 | PosAcc: nan | NegAcc: 0.9019
Epoch 19, Batch 460 | Acc: 0.8913 | PosAcc: 0.8594 | NegAcc: 0.9037
Epoch 19, Batch 480 | Acc: 0.8896 | PosAcc: 0.8574 | NegAcc: 0.9021
Epoch 19, Batch 500 | Acc: 0.8908 | PosAcc: 0.8583 | NegAcc: 0.9033
Epoch 19, Batch 520 | Acc: 0.8906 | PosAcc: 0.8607 | NegAcc: 0.9022
Epoch 19, Batch 540 | Acc: 0.8898 | PosAcc: 0.8588 | NegAcc: 0.9018
Epoch 19, Batch 560 | Acc: 0.8897 | PosAcc: 0.8585 | NegAcc: 0.9018
Epoch 19, Batch 580 | Acc: 0.8899 | PosAcc: 0.8610 | NegAcc: 0.9011
Epoch 19, Batch 600 | Acc: 0.8890 | PosAcc: 0.8585 | NegAcc: 0.9009
Epoch 19, Batch 620 | Acc: 0.8887 | PosAcc: 0.8596 | NegAcc: 0.9001
Epoch 19, Batch 640 | Acc: 0.8891 | PosAcc: 0.8612 | NegAcc: 0.9001
Epoch 19, Batch 660 | Acc: 0.8888 | PosAcc: 0.8605 | NegAcc: 0.9000
Epoch 19, Batch 680 | Acc: 0.8882 | PosAcc: 0.8583 | NegAcc: 0.9000
Epoch 19, Batch 700 | Acc: 0.8884 | PosAcc: 0.8590 | NegAcc: 0.9000
Epoch 19, Batch 720 | Acc: 0.8894 | PosAcc: 0.8613 | NegAcc: 0.9005
Epoch 19, Batch 740 | Acc: 0.8897 | PosAcc: 0.8620 | NegAcc: 0.9007
Epoch 19, Batch 760 | Acc: 0.8905 | PosAcc: 0.8628 | NegAcc: 0.9014
Epoch 19, Batch 780 | Acc: 0.8909 | PosAcc: 0.8621 | NegAcc: 0.9023
Epoch 19, Batch 800 | Acc: 0.8919 | PosAcc: 0.8647 | NegAcc: 0.9027
Epoch 19, Batch 820 | Acc: 0.8927 | PosAcc: 0.8663 | NegAcc: 0.9032
Epoch 19, Batch 840 | Acc: 0.8924 | PosAcc: 0.8664 | NegAcc: 0.9029
Epoch 19, Batch 860 | Acc: 0.8914 | PosAcc: 0.8654 | NegAcc: 0.9017
Epoch 19, Batch 880 | Acc: 0.8916 | PosAcc: 0.8645 | NegAcc: 0.9023
Epoch 19, Batch 900 | Acc: 0.8915 | PosAcc: 0.8656 | NegAcc: 0.9018
Epoch 19, Batch 920 | Acc: 0.8916 | PosAcc: 0.8656 | NegAcc: 0.9018
Epoch 19, Batch 940 | Acc: 0.8914 | PosAcc: 0.8666 | NegAcc: 0.9011
Epoch 19, Batch 960 | Acc: 0.8904 | PosAcc: 0.8656 | NegAcc: 0.9000
Epoch 19, Batch 980 | Acc: 0.8901 | PosAcc: 0.8661 | NegAcc: 0.8994
Epoch 19, Batch 1000 | Acc: 0.8898 | PosAcc: 0.8673 | NegAcc: 0.8986
Epoch 19, Batch 1020 | Acc: 0.8897 | PosAcc: 0.8684 | NegAcc: 0.8981
Epoch 19, Batch 1040 | Acc: 0.8894 | PosAcc: 0.8681 | NegAcc: 0.8978
Epoch 19, Batch 1060 | Acc: 0.8892 | PosAcc: 0.8688 | NegAcc: 0.8971
Epoch 19, Batch 1080 | Acc: 0.8896 | PosAcc: 0.8691 | NegAcc: 0.8976
Epoch 19, Batch 1100 | Acc: 0.8894 | PosAcc: 0.8697 | NegAcc: 0.8971
Epoch 19, Batch 1120 | Acc: 0.8896 | PosAcc: 0.8695 | NegAcc: 0.8975
Epoch 19, Batch 1140 | Acc: 0.8906 | PosAcc: 0.8706 | NegAcc: 0.8984
Epoch 19, Batch 1160 | Acc: 0.8908 | PosAcc: 0.8713 | NegAcc: 0.8985
Epoch 19, Batch 1180 | Acc: 0.8907 | PosAcc: 0.8713 | NegAcc: 0.8983
Epoch 19, Batch 1200 | Acc: 0.8904 | PosAcc: 0.8719 | NegAcc: 0.8977
Epoch 19, Batch 1220 | Acc: 0.8909 | PosAcc: 0.8723 | NegAcc: 0.8981
Epoch 19, Batch 1240 | Acc: 0.8911 | PosAcc: 0.8727 | NegAcc: 0.8983
